iteration NAG_constant_time_X NAG_constant_time_Y NAG_constant_objective_X NAG_constant_objective_Y NAG_constant_hpwl_X NAG_constant_hpwl_Y NAG_constant_euclidean_norm_X NAG_constant_euclidean_norm_Y NAG_scaled-by-sqrt_time_X NAG_scaled-by-sqrt_time_Y NAG_scaled-by-sqrt_objective_X NAG_scaled-by-sqrt_objective_Y NAG_scaled-by-sqrt_hpwl_X NAG_scaled-by-sqrt_hpwl_Y NAG_scaled-by-sqrt_euclidean_norm_X NAG_scaled-by-sqrt_euclidean_norm_Y NAG_observed-lipschitz_time_X NAG_observed-lipschitz_time_Y NAG_observed-lipschitz_objective_X NAG_observed-lipschitz_objective_Y NAG_observed-lipschitz_hpwl_X NAG_observed-lipschitz_hpwl_Y NAG_observed-lipschitz_euclidean_norm_X NAG_observed-lipschitz_euclidean_norm_Y NAG_min-observed-lipschitz_time_X NAG_min-observed-lipschitz_time_Y NAG_min-observed-lipschitz_objective_X NAG_min-observed-lipschitz_objective_Y NAG_min-observed-lipschitz_hpwl_X NAG_min-observed-lipschitz_hpwl_Y NAG_min-observed-lipschitz_euclidean_norm_X NAG_min-observed-lipschitz_euclidean_norm_Y NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y NAG_backtracking-line-search_time_X NAG_backtracking-line-search_time_Y NAG_backtracking-line-search_objective_X NAG_backtracking-line-search_objective_Y NAG_backtracking-line-search_hpwl_X NAG_backtracking-line-search_hpwl_Y NAG_backtracking-line-search_euclidean_norm_X NAG_backtracking-line-search_euclidean_norm_Y GD_constant_time_X GD_constant_time_Y GD_constant_objective_X GD_constant_objective_Y GD_constant_hpwl_X GD_constant_hpwl_Y GD_constant_euclidean_norm_X GD_constant_euclidean_norm_Y GD_scaled-by-sqrt_time_X GD_scaled-by-sqrt_time_Y GD_scaled-by-sqrt_objective_X GD_scaled-by-sqrt_objective_Y GD_scaled-by-sqrt_hpwl_X GD_scaled-by-sqrt_hpwl_Y GD_scaled-by-sqrt_euclidean_norm_X GD_scaled-by-sqrt_euclidean_norm_Y GD_observed-lipschitz_time_X GD_observed-lipschitz_time_Y GD_observed-lipschitz_objective_X GD_observed-lipschitz_objective_Y GD_observed-lipschitz_hpwl_X GD_observed-lipschitz_hpwl_Y GD_observed-lipschitz_euclidean_norm_X GD_observed-lipschitz_euclidean_norm_Y GD_min-observed-lipschitz_time_X GD_min-observed-lipschitz_time_Y GD_min-observed-lipschitz_objective_X GD_min-observed-lipschitz_objective_Y GD_min-observed-lipschitz_hpwl_X GD_min-observed-lipschitz_hpwl_Y GD_min-observed-lipschitz_euclidean_norm_X GD_min-observed-lipschitz_euclidean_norm_Y GD_barzilai-borwein_time_X GD_barzilai-borwein_time_Y GD_barzilai-borwein_objective_X GD_barzilai-borwein_objective_Y GD_barzilai-borwein_hpwl_X GD_barzilai-borwein_hpwl_Y GD_barzilai-borwein_euclidean_norm_X GD_barzilai-borwein_euclidean_norm_Y GD_backtracking-line-search_time_X GD_backtracking-line-search_time_Y GD_backtracking-line-search_objective_X GD_backtracking-line-search_objective_Y GD_backtracking-line-search_hpwl_X GD_backtracking-line-search_hpwl_Y GD_backtracking-line-search_euclidean_norm_X GD_backtracking-line-search_euclidean_norm_Y
147 947.4000000000001 941.4000000000001 2.59789 8.15489 3.16021 8.96363 0.0264972675 1.1658918624999999 1021.9000000000001 1013.8 2.73187 1.33748 3.20978 2.06648 0.0139029625 0.46234915 975.7 969.4000000000001 2.59782 1.28865 3.17176 1.92242 0.0988206775 0.1212530425 1050.0 1041.3 2.59789 1.28873 3.16021 1.92245 0.0264972675 0.12130194 1011.0 1003.2 2.5976 1.29778 3.15842 1.92058 0.00912318 0.009838822499999999 1461.6999999999998 1461.6 2.6007 1.28725 3.16047 1.91398 0.009115085 0.0093820225 683.7 676.2 2.75661 9.01889 3.22296 9.25035 0.01684052 1.0936897825 729.4 721.4 2.77499 1.66868 3.23802 2.0635 0.019880514999999998 0.02740373 684.0999999999999 676.5 2.66699 1.43707 3.19421 1.98829 0.1204858175 0.0171032775 711.5999999999999 703.5999999999999 2.75661 1.68138 3.22296 2.06416 0.01684052 0.0275753275 716.3 708.5999999999999 2.50422 1.27781 3.12294 1.91635 0.008144987499999999 0.0097461775 1211.5 1211.5 2.75661 1.72242 3.22296 2.07222 0.01684052 0.030536795000000002
148 953.8 947.4000000000001 2.59642 3.30114 3.15997 4.17218 0.0281329825 1.102640085 1028.9 1020.6000000000001 2.73154 1.33409 3.20962 2.06604 0.0138729825 0.465861645 982.0999999999999 975.7 2.59635 1.28682 3.17128 1.92144 0.099007095 0.1211759975 1057.0 1048.4 2.59642 1.28689 3.15997 1.92147 0.0281329825 0.1212243275 1017.7 1010.1000000000001 2.59616 1.29594 3.15787 1.9195 0.0091006475 0.00977016 1471.5 1471.4 2.59951 1.28561 3.16005 1.91298 0.0090967575 0.0093304975 688.2 680.7 2.75648 4.96525 3.22287 5.21085 0.01682366 1.104346775 734.1 726.2 2.77498 1.66808 3.238 2.06339 0.019876940000000003 0.0273612825 688.5999999999999 681.0999999999999 2.66452 1.43922 3.18003 1.99473 0.0126345775 0.138234255 716.3 708.4000000000001 2.75648 1.68068 3.22287 2.06402 0.01682366 0.027527465 721.3 713.2 2.5042 1.27778 3.12292 1.91631 0.0081132125 0.0088239675 1219.6 1219.6 2.75648 1.72186 3.22287 2.07211 0.01682366 0.030494195
149 960.0 953.8 2.59494 8.1576 3.15941 8.97185 0.0298317075 1.1647200875000001 1035.7 1027.6000000000001 2.7312 1.33224 3.20946 2.06576 0.013843244999999999 0.4635217875 988.7 982.0999999999999 2.59486 1.28502 3.17086 1.92049 0.0996128925 0.1209712225 1063.9 1055.3 2.59494 1.28509 3.15941 1.92051 0.0298317075 0.121019075 1024.4 1016.8 2.59471 1.29411 3.15733 1.91846 0.009078295 0.00970208 1481.0 1480.9 2.59832 1.28399 3.15963 1.91199 0.0090787075 0.0092798325 692.7 685.2 2.75635 8.99717 3.22279 9.23149 0.016806864999999997 1.0936284625000001 738.8000000000001 730.9 2.77497 1.66749 3.23798 2.06328 0.0198733825 0.02731918 693.0 685.5999999999999 2.66447 1.44087 3.17987 1.99773 0.011270084999999999 0.1694684075 721.0 713.0999999999999 2.75635 1.67998 3.22279 2.06387 0.016806864999999997 0.0274798525 726.0 717.9000000000001 2.50418 1.27775 3.12291 1.9163 0.0081109775 0.0088082675 1227.6 1227.6 2.75635 1.7213 3.22279 2.07201 0.016806864999999997 0.0304517625
150 966.0999999999999 960.0 2.59347 3.2902 3.1592 4.16669 0.031594425 1.1043439625 1042.5 1034.5 2.73087 1.32891 3.2093 2.06531 0.013813750000000001 0.46700423 995.2 988.7 2.59338 1.28322 3.17037 1.91954 0.0997897075 0.12088373749999999 1070.9 1062.3 2.59347 1.2833 3.1592 1.91956 0.031594425 0.1209310225 1031.3 1023.5 2.59326 1.2923 3.15677 1.9174 0.009056122500000001 0.009634684999999999 1490.8 1490.7 2.59714 1.2824 3.15922 1.91102 0.0090609275 0.0092299575 697.2 689.8 2.75622 4.9842 3.2227 5.22994 0.0167901375 1.1081073325 743.7 735.7 2.77495 1.6669 3.23796 2.06316 0.019869842500000002 0.0272774125 697.5 690.0 2.66437 1.43504 3.17973 1.98739 0.010764004999999998 0.0193005725 725.5999999999999 717.9000000000001 2.75622 1.67929 3.2227 2.06373 0.0167901375 0.0274324925 730.7 722.5999999999999 2.50413 1.27771 3.12289 1.91629 0.00810904 0.0088001375 1235.5 1235.5 2.75622 1.72074 3.2227 2.0719 0.0167901375 0.0304094975
151 972.5 966.0999999999999 2.59199 8.14439 3.15867 8.95871 0.0333930425 1.1647529275 1049.5 1041.3 2.73053 1.3271 3.20914 2.06508 0.013784494999999999 0.464645285 1001.5999999999999 995.2 2.59189 1.28146 3.16996 1.91862 0.1004018825 0.12067077999999999 1077.9 1069.4 2.59199 1.28153 3.15867 1.91864 0.0333930425 0.12071760999999999 1038.1000000000001 1030.4 2.5918 1.29051 3.15623 1.91638 0.00903412 0.009567852500000001 1500.3 1500.2 2.59597 1.28084 3.15881 1.91007 0.009043402499999999 0.0091808025 701.8 694.2 2.7561 9.01634 3.22262 9.25082 0.016773475000000003 1.0936977925000002 748.4 740.4 2.77494 1.66631 3.23794 2.06305 0.0198663225 0.02723598 702.2 694.5 2.66386 1.43491 3.17953 1.98719 0.011671642500000001 0.015241095 730.4000000000001 722.5 2.7561 1.6786 3.22262 2.06359 0.016773475000000003 0.02738538 735.4000000000001 727.3 2.50399 1.27749 3.12281 1.91621 0.0081060675 0.008774269999999999 1243.8999999999999 1243.8999999999999 2.7561 1.72018 3.22262 2.0718 0.016773475000000003 0.0303674
152 978.7 972.5 2.59052 3.33708 3.15849 4.21148 0.035228135 1.1196308400000001 1056.3 1048.3 2.7302 1.32383 3.20898 2.06459 0.0137554775 0.4680964675 1008.0999999999999 1001.5999999999999 2.59041 1.27971 3.16946 1.91771 0.10056886 0.1205733075 1084.8 1076.4 2.59052 1.27978 3.15849 1.91773 0.035228135 0.12061958 1044.7 1037.1000000000001 2.59035 1.28874 3.15568 1.91534 0.009012285 0.0095016875 1510.1 1510.0 2.5948 1.27931 3.1584 1.90915 0.009026122499999999 0.0091323025 706.3 698.8 2.75597 4.96262 3.22253 5.21122 0.016756877500000003 1.10435307 753.2 745.3000000000001 2.77492 1.66573 3.23793 2.06294 0.01986282 0.027194875 706.7 699.0999999999999 2.66412 1.43475 3.18732 1.98713 0.07845371500000001 0.0151257675 735.0999999999999 727.2 2.75597 1.67791 3.22253 2.06345 0.016756877500000003 0.027338515 740.0 732.0 2.50375 1.27715 3.12271 1.91609 0.0081120925 0.0088652175 1251.8 1251.8 2.75597 1.71962 3.22253 2.07169 0.016756877500000003 0.030325467499999998
153 984.8 978.7 2.58904 8.20021 3.15797 9.02053 0.0370640775 1.1626266674999999 1063.1000000000001 1055.2 2.72987 1.32207 3.20882 2.06441 0.013726697500000001 0.4657105 1014.8 1008.0999999999999 2.58891 1.27798 3.16906 1.91683 0.1011875425 0.1203526175 1091.9 1083.3 2.58904 1.27805 3.15797 1.91685 0.0370640775 0.12039846 1051.6000000000001 1043.8 2.58889 1.28699 3.15513 1.91433 0.008990615 0.009436075 1519.8999999999999 1519.8 2.59365 1.27781 3.15799 1.90825 0.009009080000000001 0.009084400000000001 710.8 703.3 2.75585 8.99454 3.22245 9.23185 0.016740345 1.0936196425 757.9 750.1 2.77491 1.66515 3.23791 2.06283 0.019859335000000002 0.0271540925 711.2 703.7 2.66783 1.4339 3.20275 1.98677 0.1698441825 0.0162490375 739.8 732.0999999999999 2.75585 1.67722 3.22245 2.0633 0.016740345 0.027291892499999998 744.8 736.7 2.50369 1.27708 3.12266 1.91608 0.008141787499999999 0.009006074999999999 1259.6 1259.6 2.75585 1.71906 3.22245 2.07158 0.016740345 0.0302837025
154 991.0 984.8 2.58756 3.30605 3.15782 4.18752 0.038903515 1.1238161725 1070.2 1062.0 2.72953 1.31885 3.20866 2.06389 0.01369815 0.46912909 1021.2 1014.8 2.58742 1.27627 3.16855 1.91596 0.1013444525 0.1202456425 1098.9 1090.5 2.58756 1.27633 3.15782 1.91598 0.038903515 0.1202909475 1058.3 1050.6000000000001 2.58744 1.28525 3.15458 1.91331 0.0089691125 0.00937111 1529.8 1529.7 2.5925 1.27633 3.15759 1.90737 0.0089922625 0.00903703 715.2 707.8 2.75572 4.98152 3.22236 5.23024 0.0167238775 1.1081160225000002 762.6 754.8000000000001 2.77489 1.66457 3.23789 2.06272 0.019855865 0.02711363 715.7 708.2 2.66286 1.43434 3.17958 1.99007 0.014716004999999999 0.09941859750000001 744.5 736.8 2.75572 1.67654 3.22236 2.06316 0.0167238775 0.027245515 749.5 741.5 2.50367 1.27706 3.12266 1.91606 0.008099975 0.008743579999999999 1267.8999999999999 1267.8999999999999 2.75572 1.71851 3.22236 2.07148 0.0167238775 0.0302421
155 997.3 991.0 2.58608 8.25396 3.15732 9.07672 0.04070556 1.1580228775 1077.0 1069.0 2.7292 1.31714 3.2085 2.06376 0.013669835000000002 0.46670902999999997 1027.6 1021.2 2.58592 1.27457 3.16816 1.91511 0.10196978500000001 0.12001766000000001 1105.8 1097.5 2.58608 1.27464 3.15732 1.91513 0.04070556 0.1200625625 1065.0 1057.4 2.58598 1.28353 3.15403 1.91233 0.0089477775 0.009306677499999999 1539.6999999999998 1539.6 2.59135 1.27487 3.15719 1.90652 0.00897566 0.008990145 719.9 712.3 2.75559 9.01383 3.22228 9.25127 0.0167074725 1.09370538 767.5 759.6 2.77488 1.664 3.23787 2.06261 0.019852415 0.027073485 720.3 712.7 2.6628 1.43849 3.17917 1.997 0.0109051225 0.1703437775 749.2 741.4000000000001 2.75559 1.67586 3.22228 2.06302 0.0167074725 0.0271993775 754.4000000000001 746.2 2.50365 1.27703 3.12265 1.91605 0.0080995525 0.00874194 1275.8 1275.8 2.75559 1.71795 3.22228 2.07137 0.0167074725 0.03020066
156 1003.5 997.3 2.5846 3.21863 3.15719 4.11103 0.0424785275 1.13000854 1083.8 1075.8 2.72887 1.31397 3.20834 2.0632 0.01364175 0.47009359 1034.3 1027.6 2.58443 1.2729 3.16764 1.91427 0.10211641 0.11990168 1113.0 1104.4 2.5846 1.27296 3.15719 1.91429 0.0424785275 0.119946065 1071.8 1064.1000000000001 2.58451 1.28183 3.15348 1.91134 0.00892661 0.00924286 1549.3 1549.2 2.59022 1.27344 3.15679 1.90569 0.008959262499999999 0.00894369 724.4 716.8 2.75547 4.96004 3.22219 5.21159 0.016691132499999997 1.104359395 772.2 764.3000000000001 2.77487 1.66343 3.23786 2.0625 0.019848980000000002 0.0270336475 724.8 717.3 2.66273 1.43179 3.17905 1.98652 0.0106938925 0.0310744725 754.0 746.0999999999999 2.75547 1.67518 3.22219 2.06288 0.016691132499999997 0.027153477500000002 759.0999999999999 751.0 2.50348 1.27685 3.12257 1.91598 0.0080965975 0.00873299 1284.0 1284.0 2.75547 1.7174 3.22219 2.07127 0.016691132499999997 0.030159385
157 1009.5999999999999 1003.5 2.58312 8.21844 3.15669 9.05068 0.0441799625 1.1597638225 1090.8 1082.7 2.72854 1.3123 3.20818 2.06313 0.013613894999999999 0.4676333175 1040.8 1034.3 2.58292 1.27125 3.16726 1.91347 0.10274852749999999 0.11966679999999999 1119.9 1111.5 2.58312 1.27131 3.15669 1.91348 0.0441799625 0.119710815 1078.6000000000001 1071.0 2.58305 1.28014 3.15293 1.91039 0.0089056 0.0091795425 1559.1 1559.0 2.58909 1.27202 3.1564 1.90489 0.0089430675 0.00889762 728.9 721.4 2.75534 8.99195 3.22211 9.23222 0.016674855000000002 1.0936113175 776.9 769.1 2.77485 1.66287 3.23784 2.06239 0.0198455625 0.0269941175 729.3 721.9000000000001 2.66236 1.43155 3.17893 1.9858 0.01114235 0.015654815 758.7 750.9000000000001 2.75534 1.6745 3.22211 2.06273 0.016674855000000002 0.027107815 764.0999999999999 755.8 2.49866 1.2761 3.12039 1.91573 0.008211109999999999 0.00870793 1291.8999999999999 1291.8999999999999 2.75534 1.71685 3.22211 2.07116 0.016674855000000002 0.03011827
158 1016.0 1009.5999999999999 2.58164 3.22572 3.15656 4.12318 0.045827415 1.1255961474999998 1097.7 1089.6000000000001 2.7282 1.30919 3.20802 2.06254 0.013586264999999998 0.47098235 1047.2 1040.8 2.58143 1.26961 3.16674 1.91268 0.1028846625 0.11954229250000001 1126.9 1118.5 2.58164 1.26967 3.15656 1.91269 0.045827415 0.119585815 1085.3 1077.8 2.58158 1.27847 3.15238 1.90942 0.008884755 0.009116804999999999 1568.6 1568.5 2.58797 1.27064 3.156 1.90411 0.0089270625 0.008851895 733.4 725.9 2.75522 4.9789 3.22203 5.23056 0.01665864 1.108124255 781.7 773.8000000000001 2.77484 1.66231 3.23782 2.06228 0.0198421625 0.0269548925 733.8 726.4000000000001 2.66219 1.43144 3.18344 1.98567 0.058836177499999996 0.0149886825 763.4000000000001 755.5999999999999 2.75522 1.67382 3.22203 2.06259 0.01665864 0.027062390000000002 768.9000000000001 760.5999999999999 2.49854 1.27491 3.12769 1.91546 0.067499215 0.0111637575 1300.0 1300.0 2.75522 1.7163 3.22203 2.07106 0.01665864 0.030077315
159 1022.2 1016.0 2.58016 8.20396 3.15606 9.0385 0.0473808325 1.160820535 1104.5 1096.5 2.72787 1.30757 3.20787 2.06253 0.0135588575 0.4684767425 1053.9 1047.2 2.57991 1.26799 3.16637 1.91193 0.1035237175 0.11930086 1134.1000000000001 1125.4 2.58016 1.26805 3.15606 1.91194 0.0473808325 0.11934405 1092.0 1084.5 2.58012 1.27682 3.15184 1.9085 0.008864074999999999 0.009054534999999999 1578.5 1578.4 2.58685 1.26927 3.15561 1.90335 0.0089112425 0.008806469999999999 737.9 730.4 2.75509 9.01135 3.22194 9.25173 0.0166424875 1.0937124550000001 786.5 778.6 2.77482 1.66175 3.2378 2.06217 0.019838777499999998 0.026915962499999998 738.2 730.9000000000001 2.6656 1.43115 3.19866 1.98557 0.151036125 0.0150868875 768.0999999999999 760.3 2.75509 1.67315 3.22194 2.06245 0.0166424875 0.027017195 774.0 765.5 2.49759 1.27485 3.11981 1.91531 0.008994455 0.0103350425 1308.2 1308.2 2.75509 1.71575 3.22194 2.07095 0.0166424875 0.03003652
160 1028.3 1022.2 2.57867 3.25475 3.15592 4.15212 0.0488687325 1.1332735250000001 1111.5 1103.3 2.72754 1.30451 3.20771 2.06191 0.013531672500000001 0.47178870749999996 1060.4 1053.8 2.57841 1.26639 3.16583 1.9112 0.103649175 0.1191682675 1141.0 1132.5 2.57867 1.26645 3.15592 1.91121 0.0488687325 0.11921098999999999 1098.8 1091.3 2.57865 1.27519 3.15129 1.90757 0.0088435625 0.008992805000000001 1588.0 1587.9 2.58574 1.26792 3.15522 1.90263 0.0088956 0.0087613175 742.5 734.9 2.75497 4.95752 3.22186 5.21199 0.0166263975 1.10436573 791.3000000000001 783.3000000000001 2.77481 1.66119 3.23779 2.06206 0.01983541 0.02687733 742.8 735.4000000000001 2.66141 1.42981 3.17953 1.98599 0.0215962575 0.037899035 772.8 765.0 2.75497 1.67248 3.22186 2.06231 0.0166263975 0.026972235 779.0999999999999 770.4000000000001 2.49756 1.27481 3.1198 1.91532 0.00838052 0.00872597 1316.1 1316.1 2.75497 1.71521 3.22186 2.07085 0.0166263975 0.029995885
161 1034.7 1028.3 2.57718 8.21929 3.15541 9.0608 0.0502565 1.1555837974999998 1118.3 1110.2 2.72721 1.30293 3.20755 2.06195 0.01350471 0.4692336525 1066.8 1060.4 2.5769 1.26481 3.16548 1.91049 0.10429532 0.118920575 1147.9 1139.4 2.57718 1.26487 3.15541 1.91051 0.0502565 0.1189629925 1105.5 1098.2 2.57717 1.27357 3.15075 1.90669 0.008823214999999999 0.008931497500000002 1597.6999999999998 1597.6 2.58463 1.2666 3.15483 1.90193 0.0088801275 0.008716405 747.0 739.4 2.75485 8.98941 3.22178 9.2326 0.016610367499999997 1.0936035625 796.0 788.1 2.7748 1.66064 3.23777 2.06195 0.0198320575 0.0268389875 747.4000000000001 739.9000000000001 2.66131 1.43875 3.17852 2.00062 0.010734114999999999 0.2211639675 777.5999999999999 769.7 2.75485 1.67181 3.22178 2.06217 0.016610367499999997 0.0269275025 783.8 775.5999999999999 2.49753 1.27478 3.11976 1.9153 0.008181867499999999 0.0086802675 1324.0 1324.0 2.75485 1.71466 3.22178 2.07075 0.016610367499999997 0.029955404999999997
162 1040.9 1034.7 2.57569 3.18542 3.15527 4.08896 0.051582195 1.13334099 1125.2 1117.1000000000001 2.72688 1.29992 3.2074 2.06131 0.013477962500000001 0.47250700749999996 1073.2 1066.8 2.57539 1.26324 3.16493 1.90981 0.104409925 0.11878029999999999 1155.1000000000001 1146.4 2.57569 1.2633 3.15527 1.90982 0.051582195 0.1188222825 1112.2 1104.9 2.5757 1.27197 3.1502 1.90579 0.008803034999999999 0.008870685 1607.3 1607.2 2.58353 1.26529 3.15444 1.90126 0.008864822500000001 0.0086717075 751.5 744.0 2.75472 4.97634 3.22169 5.2309 0.0165944 1.1081320874999998 800.8000000000001 792.9 2.77478 1.66009 3.23775 2.06185 0.01982872 0.02680093 751.9000000000001 744.5 2.66127 1.42891 3.17842 1.98509 0.0105370375 0.024373025 782.3 774.5 2.75472 1.67115 3.22169 2.06203 0.0165944 0.026883 788.5 780.4000000000001 2.49747 1.27473 3.11975 1.91528 0.0080381325 0.008656747499999999 1332.2 1332.2 2.75472 1.71412 3.22169 2.07064 0.0165944 0.029915085
163 1047.0 1040.9 2.5742 8.30898 3.15475 9.14824 0.052818335 1.1537209675 1132.1000000000001 1124.0 2.72655 1.2984 3.20725 2.06142 0.01345143 0.469899385 1080.0 1073.2 2.57387 1.26169 3.16459 1.90916 0.10506332500000001 0.1185265875 1162.1000000000001 1153.4 2.5742 1.26175 3.15475 1.90917 0.052818335 0.11856829249999999 1119.1000000000001 1111.7 2.57422 1.27038 3.14966 1.90493 0.008783025 0.0088102525 1616.8999999999999 1616.8 2.58244 1.264 3.15405 1.90061 0.008849675 0.008627202499999998 755.9 748.5 2.7546 9.00892 3.22161 9.2522 0.0165784925 1.0937189575 805.5 797.6 2.77477 1.65955 3.23773 2.06174 0.0198254 0.0267631575 756.4000000000001 749.0 2.66107 1.42876 3.17835 1.98449 0.0106325675 0.0148854775 786.9000000000001 779.2 2.7546 1.67048 3.22161 2.06189 0.0165784925 0.0268387225 793.4000000000001 785.2 2.49739 1.27463 3.11969 1.91524 0.008056747500000001 0.008642505 1340.2 1340.2 2.7546 1.71358 3.22161 2.07054 0.0165784925 0.02987492
164 1053.4 1047.0 2.5727 3.1325 3.1546 4.04648 0.0540077475 1.13489471 1139.0 1130.9 2.72622 1.29544 3.20709 2.06074 0.0134251125 0.47313259 1086.4 1080.0 2.57237 1.26016 3.16404 1.90853 0.1051669275 0.1183790025 1169.0 1160.4 2.5727 1.26022 3.1546 1.90854 0.0540077475 0.11842029750000001 1125.8 1118.6000000000001 2.57275 1.26881 3.14912 1.90407 0.008763192500000001 0.008750275 1626.6999999999998 1626.6 2.58135 1.26273 3.15367 1.89998 0.008834685 0.008582875 760.4 753.0 2.75448 4.95504 3.22153 5.21241 0.0165626475 1.10437213 810.3000000000001 802.4 2.77475 1.65901 3.23772 2.06163 0.0198220925 0.026725665 760.8 753.5 2.66033 1.42865 3.18109 1.98444 0.046100587500000005 0.014856735000000001 791.5999999999999 783.9000000000001 2.75448 1.66982 3.22153 2.06175 0.0165626475 0.02679467 798.0999999999999 789.9000000000001 2.49736 1.27451 3.11972 1.9152 0.00802011 0.008651255 1348.5 1348.5 2.75448 1.71304 3.22153 2.07043 0.0165626475 0.02983491
165 1059.6 1053.4 2.5712 8.27258 3.15408 9.12129 0.055131252500000005 1.159425475 1145.9 1137.8 2.72589 1.29396 3.20694 2.06091 0.013399005 0.470470235 1092.9 1086.4 2.57084 1.25865 3.1637 1.90793 0.10582775999999999 0.1181194775 1176.1000000000001 1167.4 2.5712 1.25871 3.15408 1.90794 0.055131252500000005 0.1181605225 1132.5 1125.3 2.57127 1.26726 3.14858 1.90326 0.0087435325 0.008690635 1636.3 1636.2 2.58027 1.26148 3.15328 1.89937 0.0088198425 0.008538715 765.1 757.5 2.75435 8.98692 3.22145 9.233 0.01654686 1.0935964125 815.0 807.2 2.77474 1.65847 3.2377 2.06152 0.0198188025 0.0266884475 765.5 757.9000000000001 2.67054 1.42716 3.21715 1.98384 0.24868613 0.0151914075 796.5 788.5999999999999 2.75435 1.66916 3.22145 2.06161 0.01654686 0.02675084 802.9000000000001 794.8 2.49734 1.27448 3.11969 1.91519 0.00800207 0.008637765 1356.3999999999999 1356.3999999999999 2.75435 1.7125 3.22145 2.07033 0.01654686 0.029795055
166 1065.7 1059.6 2.5697 3.18538 3.15392 4.10203 0.056228982500000003 1.1315591025 1152.9 1144.6000000000001 2.72556 1.29105 3.20679 2.0602 0.0133731075 0.473661785 1099.5 1092.9 2.56933 1.25716 3.16314 1.90735 0.10592023 0.11796494 1183.1000000000001 1174.4 2.5697 1.25721 3.15392 1.90736 0.056228982500000003 0.1180056 1139.2 1132.0 2.56979 1.26572 3.14803 1.90245 0.008724055 0.0086314075 1646.1 1646.0 2.57919 1.26024 3.1529 1.89879 0.0088051475 0.0084947075 769.6 762.1 2.75423 4.97382 3.22136 5.23127 0.016531135 1.10813951 819.7 812.0 2.77473 1.65793 3.23768 2.06142 0.019815527500000003 0.0266515025 770.0 762.4000000000001 2.65972 1.43255 3.17784 1.99952 0.012949265 0.2386256175 801.2 793.3 2.75423 1.6685 3.22136 2.06147 0.016531135 0.0267072325 807.5999999999999 799.5 2.49732 1.27445 3.11968 1.91519 0.0080017525 0.008634155 1364.3999999999999 1364.3999999999999 2.75423 1.71196 3.22136 2.07023 0.016531135 0.029755355
167 1071.9 1065.7 2.5682 8.27929 3.1534 9.13193 0.0572920325 1.15650887 1159.7 1151.6000000000001 2.72523 1.28962 3.20664 2.06044 0.013347415 0.4709434225 1106.1 1099.5 2.5678 1.25568 3.16281 1.9068 0.1065886825 0.117699805 1190.0 1181.4 2.5682 1.25574 3.1534 1.9068 0.0572920325 0.117740235 1146.0 1139.0 2.56831 1.2642 3.14749 1.9017 0.008704755 0.008572485000000001 1655.6999999999998 1655.6 2.57811 1.25903 3.15252 1.89822 0.008790595 0.0084508525 774.1 766.6 2.75411 9.00653 3.22128 9.25268 0.0165154675 1.0937248400000001 824.4 816.7 2.77471 1.6574 3.23767 2.06131 0.0198122675 0.0266148275 774.5 767.0999999999999 2.65968 1.53218 3.17775 2.10844 0.010494182500000001 0.58947914 805.9000000000001 798.0 2.75411 1.66785 3.22128 2.06133 0.0165154675 0.026663845 812.3 804.2 2.497 1.27442 3.11954 1.91518 0.0079987125 0.008632915000000001 1372.7 1372.7 2.75411 1.71142 3.22128 2.07012 0.0165154675 0.0297158075
168 1078.3 1071.9 2.56669 3.15395 3.15324 4.078 0.058348365 1.12698324 1166.6000000000001 1158.5 2.72491 1.28677 3.20649 2.0597 0.01332193 0.47409186999999997 1112.8 1106.2 2.56629 1.25422 3.16224 1.90626 0.106669915 0.11753867 1197.0 1188.3 2.56669 1.25428 3.15324 1.90626 0.058348365 0.1175787375 1152.6000000000001 1145.8 2.56682 1.2627 3.14694 1.90094 0.0086856475 0.008513945 1665.5 1665.4 2.57704 1.25782 3.15214 1.89768 0.00877618 0.00840715 778.6 771.1 2.75399 4.95262 3.2212 5.21284 0.01649986 1.104378575 829.4 821.4 2.7747 1.65687 3.23765 2.06121 0.019809022500000002 0.0265784175 779.0 771.5999999999999 2.65961 1.42163 3.17774 1.98354 0.0104800125 0.0703102875 810.5999999999999 802.7 2.75399 1.6672 3.2212 2.06119 0.01649986 0.026620675 817.0999999999999 809.0 2.49649 1.27129 3.1193 1.91416 0.0080061225 0.008506975 1380.7 1380.7 2.75399 1.71089 3.2212 2.07002 0.01649986 0.02967641
